ef_id,region_code,confidence
ef_807957a3,USA,0.7
ef_5f141439,USA,0.7
ef_ec408ded,USA,0.7
ef_ca2edc71,USA,0.7
ef_512ac975,USA,0.7
ef_6150f8a4,USA,0.7
ef_6d1d7a42,USA,0.7
ef_0c89d4f2,USA,0.7
ef_01c71aa9,USA,0.7
ef_bc1f06a0,USA,0.7
ef_cd0f1ba1,USA,0.7
ef_8de12bbf,USA,0.7
ef_09e0ad05,USA,0.7
ef_c2baee2f,USA,0.7
ef_a4e84df3,USA,0.7
ef_0141d510,USA,0.7
ef_9b7fcc70,USA,0.7
ef_185dc837,USA,0.7
ef_f86bba1f,USA,0.7
ef_df0588c3,USA,0.7
ef_3c6605c1,USA,0.7
ef_2882882f,USA,0.7
ef_e94203c5,USA,0.7
ef_56cf6989,USA,0.7
ef_0404fd84,USA,0.7
ef_6641d116,USA,0.7
ef_957958ed,USA,0.7
ef_4488aee3,USA,0.7
ef_429d24b0,USA,0.7
ef_a005122a,USA,0.7
ef_bba671c1,USA,0.7
ef_8e1d4c3c,USA,0.7
ef_a367c1d8,USA,0.7
ef_0ff2ad4a,USA,0.7
ef_aa2096ce,USA,0.7
ef_65b249fd,USA,0.7
ef_8e193f3d,USA,0.7
ef_a12e90c5,USA,0.7
ef_1def1b1f,USA,0.7
ef_0c1c091e,USA,0.7
ef_d0432d1d,USA,0.7
ef_41cd37f8,USA,0.7
ef_e9bfc2d8,USA,0.7
ef_f507a59b,USA,0.7
ef_8c54a097,USA,0.7
ef_3f48196e,USA,0.7
ef_4b18c1bf,USA,0.7
ef_29697685,USA,0.7
ef_42d7a7d8,USA,0.7
ef_b411a99b,USA,0.7
ef_688ddfe4,USA,0.7
ef_9b6ed166,USA,0.7
ef_5274fb27,USA,0.7
ef_f5643509,USA,0.7
ef_aad70e96,USA,0.7
ef_f933111e,USA,0.7
ef_3b7c05f4,USA,0.7
ef_5582c746,USA,0.7
ef_f59d399c,USA,0.7
ef_a17c93a6,USA,0.7
ef_2cd77638,USA,0.7
ef_9682d0e3,USA,0.7
ef_2cd17ed5,USA,0.7
ef_173e04ca,USA,0.7
ef_25dced6b,USA,0.7
ef_1c782b37,USA,0.7
ef_e1988089,USA,0.7
ef_92a699b2,USA,0.7
ef_61c96953,USA,0.7
ef_3ac288a0,USA,0.7
ef_f9966f67,USA,0.7
ef_acd96c1a,USA,0.7
ef_ce97779d,USA,0.7
ef_edd8deaf,USA,0.7
ef_c728e812,USA,0.7
ef_5c1d41c1,USA,0.7
ef_e4c2cd00,USA,0.7
ef_8bbfe158,USA,0.7
ef_eba0a0d3,USA,0.7
ef_41e95f3b,USA,0.7
ef_1e51404a,USA,0.7
ef_0bb637f5,USA,0.7
ef_0751a45d,USA,0.7
ef_d47e63e4,USA,0.7
ef_4de6ee4b,USA,0.7
ef_fb22604d,USA,0.7
ef_9a545c20,USA,0.7
ef_8dee32b2,USA,0.7
ef_ac814993,USA,0.7
ef_e0854065,USA,0.7
ef_955be77f,USA,0.7
ef_e097c9d6,USA,0.7
ef_c0819925,USA,0.7
ef_1b7beb3c,USA,0.7
ef_d8338e04,USA,0.7
ef_f259ded8,USA,0.7
ef_60051e72,USA,0.7
ef_d4e76a53,USA,0.7
ef_ac9ad0b5,USA,0.7
ef_5340063e,USA,0.7
ef_7c9781a6,USA,0.7
ef_a9859a48,USA,0.7
ef_09ea6a67,USA,0.7
ef_decdec03,USA,0.7
ef_b74d40c1,USA,0.7
ef_c711f7c4,USA,0.7
ef_adbebb16,USA,0.7
ef_e50f242c,USA,0.7
ef_b8e22540,USA,0.7
ef_fa4b1647,USA,0.7
ef_11433d54,USA,0.7
ef_700a8921,USA,0.7
ef_23c2c651,USA,0.7
ef_d338647d,USA,0.7
ef_acd58c08,USA,0.7
ef_3981461b,USA,0.7
ef_81f44f9a,USA,0.7
ef_56f67740,USA,0.7
ef_94366a1d,USA,0.7
ef_65ec92c4,USA,0.7
ef_6d01d1c0,USA,0.7
ef_8f97ec43,USA,0.7
ef_e7885a9f,USA,0.7
ef_6c446cd9,USA,0.7
ef_5f523a19,USA,0.7
ef_1f9bd1cd,USA,0.7
ef_ecfdd255,USA,0.7
ef_a6681cbf,USA,0.7
ef_4a6ba17f,USA,0.7
ef_73847af7,USA,0.7
ef_2afd0692,USA,0.7
ef_85d292a6,USA,0.7
ef_23b74b51,USA,0.7
ef_3b68261c,USA,0.7
ef_048fca3a,USA,0.7
ef_6157b148,USA,0.7
ef_9cef6765,USA,0.7
ef_ea97bae8,USA,0.7
ef_39bbc3d7,USA,0.7
ef_dd807bd9,USA,0.7
ef_c55c8c37,USA,0.7
ef_7e5c7f7e,USA,0.7
ef_931cb1fc,USA,0.7
ef_c5e238ac,USA,0.7
ef_d2927ffe,USA,0.7
ef_1da57741,USA,0.7
ef_551a9ca7,USA,0.7
ef_a7f2d1de,USA,0.7
ef_5366b760,USA,0.7
ef_04526ee3,USA,0.7
ef_1962f5a2,USA,0.7
ef_e0e0baa9,USA,0.7
ef_aa166eda,USA,0.7
ef_a6a0c064,USA,0.7
ef_d1fcb431,USA,0.7
ef_4f23a0cb,USA,0.7
ef_0cc8f258,USA,0.7
ef_f678b555,USA,0.7
ef_fef611cb,USA,0.7
ef_43e6bd19,USA,0.7
ef_5340d00b,USA,0.7
ef_6001c33a,USA,0.7
ef_82d66d5c,USA,0.7
ef_a36b8494,USA,0.7
ef_93c90ffe,USA,0.7
ef_04bd3e11,USA,0.7
ef_f2fbcbb4,USA,0.7
ef_aa32b98f,USA,0.7
ef_ec2f5a0b,USA,0.7
ef_90fd8f2a,USA,0.7
ef_182da39d,USA,0.7
ef_90cca5f4,USA,0.7
ef_7b2b30a8,USA,0.7
ef_fa5d5d7e,USA,0.7
ef_c013beb7,USA,0.7
ef_07764114,USA,0.7
ef_17d866b0,USA,0.7
ef_bec229b7,USA,0.7
ef_0f6a8920,USA,0.7
ef_3dbe2da2,USA,0.7
ef_8b230e56,USA,0.7
ef_baa17371,USA,0.7
ef_5707eeb9,USA,0.7
ef_3ec8a733,USA,0.7
ef_1a8daa17,USA,0.7
ef_a32ecfff,USA,0.7
ef_44a8332d,USA,0.7
ef_a717fb17,USA,0.7
ef_484d719f,USA,0.7
ef_f0a6005b,USA,0.7
ef_007813d7,USA,0.7
ef_2c567e70,USA,0.7
ef_5498a344,USA,0.7
ef_375afc63,USA,0.7
ef_cbdef3f9,USA,0.7
ef_0591b818,USA,0.7
ef_be39d2f3,USA,0.7
ef_e1686b58,USA,0.7
ef_07a0b915,USA,0.7
ef_b6f95ec0,USA,0.7
ef_ca09e9bf,USA,0.7
ef_0ef8098c,USA,0.7
ef_4f812879,USA,0.7
ef_cf13eae2,USA,0.7
ef_839feacd,USA,0.7
ef_29175b86,USA,0.7
ef_4197bf14,USA,0.7
ef_e7c8ae02,USA,0.7
ef_c74be6a8,USA,0.7
ef_ba6be934,USA,0.7
ef_61d0527e,USA,0.7
ef_e5d4660e,USA,0.7
ef_80245aa1,USA,0.7
ef_29baad24,USA,0.7
ef_867a4f14,USA,0.7
ef_51cb2adf,USA,0.7
ef_b0ee8347,USA,0.7
ef_8a3a2198,USA,0.7
ef_c5225421,USA,0.7
ef_50def458,USA,0.7
ef_d18e092c,USA,0.7
ef_8637b86a,USA,0.7
ef_76a3f64d,USA,0.7
ef_f55a271b,USA,0.7
ef_cf5d6bfd,USA,0.7
ef_94ed3703,USA,0.7
ef_43879c43,USA,0.7
ef_0d73b3ea,USA,0.7
ef_066d79d3,USA,0.7
ef_56e15e25,USA,0.7
ef_e7a8dfd5,USA,0.7
ef_aa7175b3,USA,0.7
ef_a852def2,USA,0.7
ef_2b72861e,USA,0.7
ef_be3b0301,USA,0.7
ef_0c65e76f,USA,0.7
ef_454dfaeb,USA,0.7
ef_1ea4071c,USA,0.7
ef_61b1414f,USA,0.7
ef_ad479a23,USA,0.7
ef_645df20d,USA,0.7
ef_1d5cb151,USA,0.7
ef_a16b5fe3,USA,0.7
ef_aa954b3f,USA,0.7
ef_8fc0f125,USA,0.7
ef_b12c3269,USA,0.7
ef_8b8b964d,USA,0.7
ef_5eeaec29,USA,0.7
ef_50572f4f,USA,0.7
ef_e0051f13,USA,0.7
ef_7bdb8a38,USA,0.7
ef_2408725c,USA,0.7
ef_38c5e595,USA,0.7
ef_ad9cee3e,USA,0.7
ef_58d1d74e,USA,0.7
ef_83a0c375,USA,0.7
ef_752880ef,USA,0.7
ef_0bcf108a,USA,0.7
ef_99c4008c,USA,0.7
ef_b519747f,USA,0.7
ef_a1aea156,USA,0.7
ef_e1d73b2d,USA,0.7
ef_0a66b34c,USA,0.7
ef_b1833076,USA,0.7
ef_0723af5f,USA,0.7
ef_3519909d,USA,0.7
ef_65e73581,USA,0.7
ef_2eee6672,USA,0.7
ef_bb87f178,USA,0.7
ef_1b7820d8,USA,0.7
ef_9ab4bf76,USA,0.7
ef_47c0a26f,USA,0.7
ef_754c8ed6,USA,0.7
ef_0c864a30,USA,0.7
ef_3196d317,USA,0.7
ef_9bf372c6,USA,0.7
ef_54cdae64,USA,0.7
ef_929cc074,USA,0.7
ef_54424d68,USA,0.7
ef_633ad533,USA,0.7
ef_f1827ece,USA,0.7
ef_b2ed1d59,USA,0.7
ef_59c8d3cd,USA,0.7
ef_d43e4b4c,USA,0.7
ef_383043fe,USA,0.7
ef_971761e0,USA,0.7
ef_94ecf25b,USA,0.7
ef_1fe1620a,USA,0.7
ef_550311b9,USA,0.7
ef_dc081614,USA,0.7
ef_2bf16eed,USA,0.7
ef_15dac7ce,USA,0.7
ef_1922fc5e,USA,0.7
ef_5af14c9e,USA,0.7
ef_f418f104,USA,0.7
ef_69ff9604,USA,0.7
ef_4b2dcbe4,USA,0.7
ef_11eae6ad,USA,0.7
ef_1e803d36,USA,0.7
ef_d67c8113,USA,0.7
ef_a13e1083,USA,0.7
ef_835255b1,USA,0.7
ef_e884339b,USA,0.7
ef_0d01b2b6,USA,0.7
ef_9cddaa7f,USA,0.7
ef_6a5c4e46,USA,0.7
ef_ec0d75e9,USA,0.7
ef_313ecdcf,USA,0.7
ef_d4a0ce2f,USA,0.7
ef_b2e03747,USA,0.7
ef_4a7c3bca,USA,0.7
ef_481cfcd0,USA,0.7
ef_e565b6bd,USA,0.7
ef_62ef7855,USA,0.7
ef_0d4adb0e,USA,0.7
ef_5fb392f5,USA,0.7
ef_c4d79d4d,USA,0.7
ef_9e012f98,USA,0.7
ef_1f52e996,USA,0.7
ef_fec7645e,USA,0.7
ef_334198cf,USA,0.7
