ef_id,type_id,confidence
ef_68af7cf7,type_3,0.63
ef_7183df7a,type_3,0.56
ef_ff8b99de,type_3,0.87
ef_f338700f,type_3,0.83
ef_55953bce,type_3,0.52
ef_4f237136,type_3,0.79
ef_e4cc0d3c,type_3,0.53
ef_5a7110fb,type_3,0.6
ef_2e226569,type_3,0.82
ef_daf6591d,type_3,0.59
ef_ac274f21,type_3,0.57
ef_da541d48,type_4,0.6
ef_df6482b9,type_4,0.77
ef_f3b036bd,type_4,0.51
ef_11e84814,type_4,0.87
ef_352ec38d,type_4,0.62
ef_fe09060f,type_4,0.87
ef_f1f425a9,type_4,0.89
ef_3c6a304e,type_4,0.59
ef_ea143494,type_4,0.94
ef_ed781dbd,type_4,0.63
ef_6c364bd9,type_4,0.51
ef_c56b3433,type_4,0.51
ef_410b1b55,type_4,0.77
ef_9868458e,type_4,0.64
ef_b10b5d32,type_4,0.88
ef_1547192e,type_4,0.54
ef_c5342ab6,type_4,0.65
ef_ac0e8199,type_4,0.71
ef_7747ef4f,type_4,0.64
ef_234067b0,type_4,0.86
ef_8fab9b7a,type_4,0.94
ef_e0bf012e,type_4,0.56
ef_c107e1f5,type_4,0.71
ef_68982da6,type_4,0.82
ef_c00600bc,type_4,0.54
ef_ccac865f,type_4,0.62
ef_1e4242e9,type_4,0.64
ef_6ec1031b,type_4,0.54
ef_aef39309,type_4,0.89
ef_70afce47,type_4,0.77
ef_4a1a32a7,type_5,0.74
ef_eea2cd3c,type_5,0.7
ef_7729549d,type_5,0.79
ef_3b0bf962,type_5,0.95
ef_30cdff51,type_5,0.84
ef_c4908a04,type_5,0.57
ef_368e8dd4,type_5,0.54
ef_3c60e6d2,type_5,0.53
ef_430461df,type_5,0.71
ef_da99be56,type_5,0.81
ef_bb31f817,type_6,0.9
ef_12329ddc,type_6,0.9
ef_32e4dd15,type_6,0.9
ef_0fa5de6b,type_6,0.9
ef_187fe705,type_6,0.9
ef_47a8f2af,type_6,0.9
ef_ac64aeb1,type_6,0.9
ef_aa1fa875,type_6,0.9
ef_e4559d71,type_6,0.7
ef_3a803e1c,type_6,0.7
ef_4727f0f3,type_7,0.7
ef_158c37e6,type_7,0.7
ef_3316c532,type_7,0.7
ef_9a9cda59,type_7,0.7
ef_65baed61,type_7,0.7
ef_9abcb52f,type_7,0.7
ef_c35dde3e,type_7,0.7
ef_26a28f02,type_7,0.7
ef_974e0eca,type_7,0.7
ef_3c4d3989,type_7,0.7
ef_2e64e9a3,type_7,0.7
ef_e6263dd1,type_7,0.7
ef_8cfeede5,type_7,0.7
ef_d1429761,type_7,0.7
ef_81a707f3,type_7,0.7
ef_925a17ee,type_7,0.7
ef_ca51c2b6,type_7,0.7
ef_92b88a04,type_7,0.7
ef_de11e2ed,type_7,0.7
ef_242afb6e,type_7,0.7
ef_d0b0b856,type_7,0.7
ef_a65b2304,type_7,0.7
ef_ebf0bf0a,type_7,0.7
ef_42218bed,type_7,0.7
ef_19c4d69a,type_7,0.7
ef_9dc8161e,type_7,0.7
ef_e2adef80,type_7,0.7
ef_0620a32f,type_7,0.7
ef_5eb3e413,type_7,0.7
ef_f4a7ade2,type_7,0.7
ef_99bea43d,type_7,0.7
ef_4faf1711,type_7,0.7
ef_67a6e8cf,type_7,0.7
ef_bc3011e3,type_7,0.7
ef_61e75552,type_7,0.7
ef_6b10efc5,type_7,0.7
ef_01dce10e,type_7,0.7
ef_4e9d3631,type_7,0.7
ef_0fa90c81,type_7,0.7
ef_83fdc78c,type_7,0.7
ef_e27e964f,type_7,0.7
ef_ac22cf9a,type_7,0.7
ef_9e7cbb95,type_7,0.7
ef_f2243742,type_7,0.7
ef_6132534d,type_7,0.7
ef_d632798d,type_7,0.7
ef_8330f406,type_7,0.7
ef_b8f1d813,type_7,0.7
ef_5e045356,type_7,0.7
ef_871aedd3,type_7,0.7
ef_8e1e8c41,type_7,0.7
ef_261afe17,type_7,0.7
ef_d768d8cb,type_7,0.7
ef_7cf60a71,type_7,0.7
ef_f222cedd,type_7,0.7
ef_548ac078,type_7,0.7
ef_4b45671c,type_7,0.7
ef_d08aca7f,type_7,0.7
ef_ca8f8c3a,type_7,0.7
ef_ba4ac822,type_7,0.7
ef_2768de36,type_7,0.7
ef_08aee4a2,type_7,0.7
ef_184cef5d,type_7,0.7
ef_17378fc7,type_7,0.7
ef_7354bc8d,type_7,0.7
ef_37ad32d2,type_7,0.7
ef_00e36ada,type_7,0.7
ef_7a70b799,type_7,0.7
ef_1c3a0745,type_7,0.7
ef_e8f6e9b2,type_7,0.7
ef_3de11ee9,type_7,0.7
ef_3da6c5d7,type_7,0.7
ef_08f73468,type_7,0.7
ef_0036aea4,type_7,0.7
ef_251e843d,type_7,0.7
ef_d982430b,type_7,0.7
ef_b66eed9a,type_7,0.7
ef_57d6294c,type_7,0.7
ef_8580eeb7,type_7,0.7
ef_a7f30a18,type_7,0.7
ef_3ad4b8a5,type_7,0.7
ef_c092db6a,type_7,0.7
ef_0dc5610a,type_7,0.7
ef_67abc57e,type_7,0.7
ef_1365d3e5,type_7,0.7
ef_1f23587c,type_7,0.7
ef_4c5c9b61,type_7,0.7
ef_094ac51b,type_7,0.7
ef_f5e6b98f,type_7,0.7
ef_8184394d,type_7,0.7
ef_71ebd1b9,type_7,0.7
ef_a735d8a0,type_7,0.7
ef_57d04710,type_7,0.7
ef_efbf9dd5,type_7,0.7
ef_40c14835,type_7,0.7
ef_62778810,type_7,0.7
ef_08750c22,type_7,0.7
ef_f1cd9c6d,type_7,0.7
ef_8cbb903f,type_7,0.7
ef_33fe352a,type_7,0.7
ef_aa89a111,type_7,0.7
ef_54b042e8,type_7,0.7
ef_801b5e97,type_7,0.7
ef_afc9d851,type_7,0.7
ef_fc5cacf8,type_7,0.7
ef_726b42dc,type_7,0.7
ef_40c92ee5,type_7,0.7
ef_2e22fd86,type_7,0.7
ef_c95af1e9,type_7,0.7
ef_987b7c7c,type_7,0.7
ef_80094711,type_7,0.7
ef_f52a044d,type_7,0.7
ef_51edf99e,type_7,0.7
ef_18d313b9,type_7,0.7
ef_67a4d4ea,type_7,0.7
ef_b2b086ac,type_7,0.7
ef_34baa741,type_7,0.7
ef_16229bf0,type_7,0.7
ef_03bd9364,type_7,0.7
ef_a94628ea,type_7,0.7
ef_965b8b7d,type_7,0.7
ef_60dadad3,type_7,0.7
ef_e31ccd51,type_7,0.7
ef_aff883b2,type_7,0.7
ef_7ed5cd91,type_7,0.7
ef_7e715d5e,type_7,0.7
ef_07b31cc2,type_7,0.7
ef_11349842,type_7,0.7
ef_7e862dd8,type_7,0.7
ef_bc2205d0,type_7,0.7
ef_de8258e1,type_7,0.7
ef_7199db75,type_7,0.7
ef_9be91e0d,type_7,0.7
ef_df3893a4,type_7,0.7
ef_5198b20a,type_7,0.7
ef_bb77a504,type_7,0.7
ef_de85182a,type_7,0.7
ef_212123ed,type_7,0.7
ef_37072b16,type_7,0.7
ef_40ac301c,type_7,0.7
ef_f5f133bd,type_7,0.7
ef_ec295ac8,type_7,0.7
ef_c11b641b,type_7,0.7
ef_537b1816,type_7,0.7
ef_8ac0550e,type_7,0.7
ef_40360879,type_7,0.7
ef_bdc178f9,type_7,0.7
ef_6e1902b0,type_7,0.7
ef_40129365,type_7,0.7
ef_cbfdc82e,type_7,0.7
ef_d7ae25ea,type_7,0.7
ef_1887c811,type_7,0.7
ef_70bfa2f8,type_7,0.7
ef_3762aa61,type_7,0.7
ef_08f468e3,type_7,0.7
ef_789b5e8e,type_7,0.7
ef_5c2eea44,type_7,0.7
ef_7072bddd,type_7,0.7
ef_b866685b,type_7,0.7
ef_13f8b6d3,type_7,0.7
ef_5d970315,type_7,0.7
ef_2e38ca33,type_7,0.7
ef_2c2b8bac,type_7,0.7
ef_6c2ab112,type_7,0.7
ef_7fb9bb07,type_7,0.7
ef_612609d6,type_7,0.7
ef_fbd966a5,type_7,0.7
ef_43a7ff7d,type_7,0.7
ef_2043ec06,type_7,0.7
ef_8f57ea6b,type_7,0.7
ef_1a18022b,type_7,0.7
ef_d845770a,type_7,0.7
ef_c00a48ba,type_7,0.7
ef_e5f70fbc,type_7,0.7
ef_8921b07f,type_7,0.7
ef_c55b9846,type_7,0.7
ef_d91daeb8,type_7,0.7
ef_5b86f308,type_7,0.7
ef_53df5541,type_7,0.7
ef_37707658,type_7,0.7
ef_f5f5a6bc,type_7,0.7
ef_cd1c13fc,type_7,0.7
ef_d27b45d0,type_7,0.7
ef_40a71c14,type_7,0.7
ef_47576982,type_7,0.7
ef_8f09a506,type_7,0.7
ef_68f31ab0,type_7,0.7
ef_ae70631b,type_7,0.7
ef_8f286d83,type_7,0.7
ef_3fa96721,type_7,0.7
ef_88e5d438,type_7,0.7
ef_fccf91d8,type_7,0.7
ef_c6bdca21,type_7,0.7
ef_93f67430,type_7,0.7
ef_183663c1,type_7,0.7
ef_d6eda509,type_7,0.7
ef_69bc1239,type_7,0.7
ef_3e4fea88,type_7,0.7
ef_1930790f,type_7,0.7
ef_95dd3726,type_7,0.7
ef_c2d7376c,type_7,0.7
ef_0b7ee441,type_7,0.7
ef_79c5ae95,type_7,0.7
ef_58637725,type_7,0.7
ef_7a4b19c8,type_7,0.7
ef_cb25b0d4,type_7,0.7
ef_721fd29a,type_7,0.7
ef_0f0fcdc7,type_7,0.7
ef_52c3fc35,type_7,0.7
ef_38d6873b,type_7,0.7
ef_338adab2,type_7,0.7
ef_e3d1da41,type_7,0.7
ef_aa4df1a4,type_7,0.7
ef_5c187419,type_7,0.7
ef_19b18520,type_7,0.7
ef_0e51346e,type_7,0.7
ef_03e51f6e,type_7,0.7
ef_d72f8922,type_7,0.7
ef_cc0524b9,type_7,0.7
ef_b3804ecc,type_7,0.7
ef_4400265f,type_7,0.7
ef_cc1141c1,type_7,0.7
ef_9ebb85b9,type_7,0.7
ef_b9313882,type_7,0.7
ef_453c7067,type_7,0.7
ef_0d425f4f,type_7,0.7
ef_3d1c8826,type_7,0.7
ef_219441e9,type_7,0.7
ef_06b8aea3,type_7,0.7
ef_316aca90,type_7,0.7
ef_dcee58ad,type_7,0.7
ef_22bc426f,type_7,0.7
ef_0ce1284d,type_7,0.7
ef_bc9d17a1,type_7,0.7
ef_64762bd3,type_7,0.7
ef_cef34b57,type_7,0.7
ef_81dc0a0d,type_7,0.7
ef_a80d0ff1,type_7,0.7
ef_8a10c744,type_7,0.7
ef_9eaa6f0c,type_7,0.7
ef_f363b446,type_7,0.7
ef_02538182,type_7,0.7
ef_c8b99a2c,type_7,0.7
ef_fd341cd3,type_7,0.7
ef_190aa023,type_7,0.7
ef_3e12be9b,type_7,0.7
ef_3c2edfd3,type_7,0.7
ef_f61fca03,type_7,0.7
ef_42e07648,type_7,0.7
ef_ad742e74,type_7,0.7
ef_782e239a,type_7,0.7
ef_e0d97592,type_7,0.7
ef_5a23a49f,type_7,0.7
ef_804cdefd,type_7,0.7
ef_3ba3abdb,type_7,0.7
ef_a5d13996,type_7,0.7
ef_06d1bc4c,type_7,0.7
ef_aaf65ad6,type_7,0.7
ef_524bd210,type_7,0.7
ef_c0096fa8,type_7,0.7
ef_d8897bb1,type_7,0.7
ef_4e7b3f5f,type_7,0.7
ef_2c405a3c,type_7,0.7
ef_6c5cdaf5,type_7,0.7
ef_2d237be6,type_7,0.7
ef_f257f959,type_7,0.7
ef_c9ed4c1c,type_7,0.7
ef_aa3d3300,type_7,0.7
ef_71dc5b7a,type_7,0.7
ef_81b0b6bf,type_7,0.7
ef_5fed57a5,type_7,0.7
ef_8a2f9a9d,type_7,0.7
ef_f659019d,type_7,0.7
ef_a58f5a5a,type_7,0.7
ef_1e5064c7,type_7,0.7
ef_0d7a18ca,type_7,0.7
ef_7b381ea2,type_7,0.7
ef_3d82197b,type_7,0.7
ef_12ed3e14,type_7,0.7
ef_cfb7d4bf,type_7,0.7
ef_e58d82f6,type_7,0.7
ef_01a93a77,type_7,0.7
ef_4e360e20,type_7,0.7
ef_adaf1040,type_7,0.7
ef_fe617ac5,type_7,0.7
ef_324a582b,type_7,0.7
ef_e5c2aa25,type_7,0.7
ef_092ef6e7,type_7,0.7
ef_bc552028,type_7,0.7
ef_45f80d21,type_7,0.7
ef_758a17de,type_7,0.7
ef_b4b77a88,type_7,0.7
ef_b0be9d4a,type_7,0.7
ef_b453f4a4,type_7,0.7
ef_e2b13a76,type_7,0.7
ef_811e2a3f,type_7,0.7
ef_af584077,type_7,0.7
ef_ac290790,type_7,0.7
ef_87f98fd8,type_7,0.7
ef_69065317,type_7,0.7
ef_2e281e7a,type_7,0.7
ef_3d0ef328,type_7,0.7
ef_f65628c2,type_7,0.7
ef_c82861da,type_7,0.7
ef_b15d81a0,type_7,0.7
ef_cabac098,type_7,0.7
ef_3c2774d3,type_7,0.7
ef_be9c6c2e,type_7,0.7
ef_63b583a5,type_7,0.7
ef_86a82bcf,type_7,0.7
ef_3a53695d,type_7,0.7
ef_968135a9,type_7,0.7
ef_8afbc85b,type_7,0.7
ef_223cc4a2,type_7,0.7
ef_8f71d0f6,type_7,0.7
ef_807957a3,type_7,0.7
ef_5f141439,type_7,0.7
ef_ec408ded,type_7,0.7
ef_ca2edc71,type_7,0.7
ef_512ac975,type_7,0.7
ef_6150f8a4,type_7,0.7
ef_6d1d7a42,type_7,0.7
ef_0c89d4f2,type_7,0.7
ef_01c71aa9,type_7,0.7
ef_bc1f06a0,type_7,0.7
ef_cd0f1ba1,type_7,0.7
ef_8de12bbf,type_7,0.7
ef_09e0ad05,type_7,0.7
ef_c2baee2f,type_7,0.7
ef_a4e84df3,type_7,0.7
ef_0141d510,type_7,0.7
ef_9b7fcc70,type_7,0.7
ef_185dc837,type_7,0.7
ef_f86bba1f,type_7,0.7
ef_df0588c3,type_7,0.7
ef_3c6605c1,type_7,0.7
ef_2882882f,type_7,0.7
ef_e94203c5,type_7,0.7
ef_56cf6989,type_7,0.7
ef_0404fd84,type_7,0.7
ef_6641d116,type_7,0.7
ef_957958ed,type_7,0.7
ef_4488aee3,type_7,0.7
ef_429d24b0,type_7,0.7
ef_a005122a,type_7,0.7
ef_bba671c1,type_7,0.7
ef_8e1d4c3c,type_7,0.7
ef_a367c1d8,type_7,0.7
ef_0ff2ad4a,type_7,0.7
ef_aa2096ce,type_7,0.7
ef_65b249fd,type_7,0.7
ef_8e193f3d,type_7,0.7
ef_a12e90c5,type_7,0.7
ef_1def1b1f,type_7,0.7
ef_0c1c091e,type_7,0.7
ef_d0432d1d,type_7,0.7
ef_41cd37f8,type_7,0.7
ef_e9bfc2d8,type_7,0.7
ef_f507a59b,type_7,0.7
ef_8c54a097,type_7,0.7
ef_3f48196e,type_7,0.7
ef_4b18c1bf,type_7,0.7
ef_29697685,type_7,0.7
ef_42d7a7d8,type_7,0.7
ef_b411a99b,type_7,0.7
ef_688ddfe4,type_7,0.7
ef_9b6ed166,type_7,0.7
ef_5274fb27,type_7,0.7
ef_f5643509,type_7,0.7
ef_aad70e96,type_7,0.7
ef_f933111e,type_7,0.7
ef_3b7c05f4,type_7,0.7
ef_5582c746,type_7,0.7
ef_f59d399c,type_7,0.7
ef_a17c93a6,type_7,0.7
ef_2cd77638,type_7,0.7
ef_9682d0e3,type_7,0.7
ef_2cd17ed5,type_7,0.7
ef_173e04ca,type_7,0.7
ef_25dced6b,type_7,0.7
ef_1c782b37,type_7,0.7
ef_e1988089,type_7,0.7
ef_92a699b2,type_7,0.7
ef_61c96953,type_7,0.7
ef_3ac288a0,type_7,0.7
ef_f9966f67,type_7,0.7
ef_acd96c1a,type_7,0.7
ef_ce97779d,type_7,0.7
ef_edd8deaf,type_7,0.7
ef_c728e812,type_7,0.7
ef_5c1d41c1,type_7,0.7
ef_e4c2cd00,type_7,0.7
ef_8bbfe158,type_7,0.7
ef_eba0a0d3,type_7,0.7
ef_41e95f3b,type_7,0.7
ef_1e51404a,type_7,0.7
ef_0bb637f5,type_7,0.7
ef_0751a45d,type_7,0.7
ef_d47e63e4,type_7,0.7
ef_4de6ee4b,type_7,0.7
ef_fb22604d,type_7,0.7
ef_9a545c20,type_7,0.7
ef_8dee32b2,type_7,0.7
ef_ac814993,type_7,0.7
ef_e0854065,type_7,0.7
ef_955be77f,type_7,0.7
ef_e097c9d6,type_7,0.7
ef_c0819925,type_7,0.7
ef_1b7beb3c,type_7,0.7
ef_d8338e04,type_7,0.7
ef_f259ded8,type_7,0.7
ef_60051e72,type_7,0.7
ef_d4e76a53,type_7,0.7
ef_ac9ad0b5,type_7,0.7
ef_5340063e,type_7,0.7
ef_7c9781a6,type_7,0.7
ef_a9859a48,type_7,0.7
ef_09ea6a67,type_7,0.7
ef_decdec03,type_7,0.7
ef_b74d40c1,type_7,0.7
ef_c711f7c4,type_7,0.7
ef_adbebb16,type_7,0.7
ef_e50f242c,type_7,0.7
ef_b8e22540,type_7,0.7
ef_fa4b1647,type_7,0.7
ef_11433d54,type_7,0.7
ef_700a8921,type_7,0.7
ef_23c2c651,type_7,0.7
ef_d338647d,type_7,0.7
ef_acd58c08,type_7,0.7
ef_3981461b,type_7,0.7
ef_81f44f9a,type_7,0.7
ef_56f67740,type_7,0.7
ef_94366a1d,type_7,0.7
ef_65ec92c4,type_7,0.7
ef_6d01d1c0,type_7,0.7
ef_8f97ec43,type_7,0.7
ef_e7885a9f,type_7,0.7
ef_6c446cd9,type_7,0.7
ef_5f523a19,type_7,0.7
ef_1f9bd1cd,type_7,0.7
ef_ecfdd255,type_7,0.7
ef_a6681cbf,type_7,0.7
ef_4a6ba17f,type_7,0.7
ef_73847af7,type_7,0.7
ef_2afd0692,type_7,0.7
ef_85d292a6,type_7,0.7
ef_23b74b51,type_7,0.7
ef_3b68261c,type_7,0.7
ef_048fca3a,type_7,0.7
ef_6157b148,type_7,0.7
ef_9cef6765,type_7,0.7
ef_ea97bae8,type_7,0.7
ef_39bbc3d7,type_7,0.7
ef_dd807bd9,type_7,0.7
ef_c55c8c37,type_7,0.7
ef_7e5c7f7e,type_7,0.7
ef_931cb1fc,type_7,0.7
ef_c5e238ac,type_7,0.7
ef_d2927ffe,type_7,0.7
ef_1da57741,type_7,0.7
ef_551a9ca7,type_7,0.7
ef_a7f2d1de,type_7,0.7
ef_5366b760,type_7,0.7
ef_04526ee3,type_7,0.7
ef_1962f5a2,type_7,0.7
ef_e0e0baa9,type_7,0.7
ef_aa166eda,type_7,0.7
ef_a6a0c064,type_7,0.7
ef_d1fcb431,type_7,0.7
ef_4f23a0cb,type_7,0.7
ef_0cc8f258,type_7,0.7
ef_f678b555,type_7,0.7
ef_fef611cb,type_7,0.7
ef_43e6bd19,type_7,0.7
ef_5340d00b,type_7,0.7
ef_6001c33a,type_7,0.7
ef_82d66d5c,type_7,0.7
ef_a36b8494,type_7,0.7
ef_93c90ffe,type_7,0.7
ef_04bd3e11,type_7,0.7
ef_f2fbcbb4,type_7,0.7
ef_aa32b98f,type_7,0.7
ef_ec2f5a0b,type_7,0.7
ef_90fd8f2a,type_7,0.7
ef_182da39d,type_7,0.7
ef_90cca5f4,type_7,0.7
ef_7b2b30a8,type_7,0.7
ef_fa5d5d7e,type_7,0.7
ef_c013beb7,type_7,0.7
ef_07764114,type_7,0.7
ef_17d866b0,type_7,0.7
ef_bec229b7,type_7,0.7
ef_0f6a8920,type_7,0.7
ef_3dbe2da2,type_7,0.7
ef_8b230e56,type_7,0.7
ef_baa17371,type_7,0.7
ef_5707eeb9,type_7,0.7
ef_3ec8a733,type_7,0.7
ef_1a8daa17,type_7,0.7
ef_a32ecfff,type_7,0.7
ef_44a8332d,type_7,0.7
ef_a717fb17,type_7,0.7
ef_484d719f,type_7,0.7
ef_f0a6005b,type_7,0.7
ef_007813d7,type_7,0.7
ef_2c567e70,type_7,0.7
ef_5498a344,type_7,0.7
ef_375afc63,type_7,0.7
ef_cbdef3f9,type_7,0.7
ef_0591b818,type_7,0.7
ef_be39d2f3,type_7,0.7
ef_e1686b58,type_7,0.7
ef_07a0b915,type_7,0.7
ef_b6f95ec0,type_7,0.7
ef_ca09e9bf,type_7,0.7
ef_0ef8098c,type_7,0.7
ef_4f812879,type_7,0.7
ef_cf13eae2,type_7,0.7
ef_839feacd,type_7,0.7
ef_29175b86,type_7,0.7
ef_4197bf14,type_7,0.7
ef_e7c8ae02,type_7,0.7
ef_c74be6a8,type_7,0.7
ef_ba6be934,type_7,0.7
ef_61d0527e,type_7,0.7
ef_e5d4660e,type_7,0.7
ef_80245aa1,type_7,0.7
ef_29baad24,type_7,0.7
ef_867a4f14,type_7,0.7
ef_51cb2adf,type_7,0.7
ef_b0ee8347,type_7,0.7
ef_8a3a2198,type_7,0.7
ef_c5225421,type_7,0.7
ef_50def458,type_7,0.7
ef_d18e092c,type_7,0.7
ef_8637b86a,type_7,0.7
ef_76a3f64d,type_7,0.7
ef_f55a271b,type_7,0.7
ef_cf5d6bfd,type_7,0.7
ef_94ed3703,type_7,0.7
ef_43879c43,type_7,0.7
ef_0d73b3ea,type_7,0.7
ef_066d79d3,type_7,0.7
ef_56e15e25,type_7,0.7
ef_e7a8dfd5,type_7,0.7
ef_aa7175b3,type_7,0.7
ef_a852def2,type_7,0.7
ef_2b72861e,type_7,0.7
ef_be3b0301,type_7,0.7
ef_0c65e76f,type_7,0.7
ef_454dfaeb,type_7,0.7
ef_1ea4071c,type_7,0.7
ef_61b1414f,type_7,0.7
ef_ad479a23,type_7,0.7
ef_645df20d,type_7,0.7
ef_1d5cb151,type_7,0.7
ef_a16b5fe3,type_7,0.7
ef_aa954b3f,type_7,0.7
ef_8fc0f125,type_7,0.7
ef_b12c3269,type_7,0.7
ef_8b8b964d,type_7,0.7
ef_5eeaec29,type_7,0.7
ef_50572f4f,type_7,0.7
ef_e0051f13,type_7,0.7
ef_7bdb8a38,type_7,0.7
ef_2408725c,type_7,0.7
ef_38c5e595,type_7,0.7
ef_ad9cee3e,type_7,0.7
ef_58d1d74e,type_7,0.7
ef_83a0c375,type_7,0.7
ef_752880ef,type_7,0.7
ef_0bcf108a,type_7,0.7
ef_99c4008c,type_7,0.7
ef_b519747f,type_7,0.7
ef_a1aea156,type_7,0.7
ef_e1d73b2d,type_7,0.7
ef_0a66b34c,type_7,0.7
ef_b1833076,type_7,0.7
ef_0723af5f,type_7,0.7
ef_3519909d,type_7,0.7
ef_65e73581,type_7,0.7
ef_2eee6672,type_7,0.7
ef_bb87f178,type_7,0.7
ef_1b7820d8,type_7,0.7
ef_9ab4bf76,type_7,0.7
ef_47c0a26f,type_7,0.7
ef_754c8ed6,type_7,0.7
ef_0c864a30,type_7,0.7
ef_3196d317,type_7,0.7
ef_9bf372c6,type_7,0.7
ef_54cdae64,type_7,0.7
ef_929cc074,type_7,0.7
ef_54424d68,type_7,0.7
ef_633ad533,type_7,0.7
ef_f1827ece,type_7,0.7
ef_b2ed1d59,type_7,0.7
ef_59c8d3cd,type_7,0.7
ef_d43e4b4c,type_7,0.7
