fuel_pathway,emission_type,vehicle_technology,ghg_emissions,unit,year,region,confidence
Liquefied Natural Gas (LNG),Well-to-Wheel,Flexible Fuel Vehicle (FFV),61.73,g CO2e/MJ,2022,US,0.89
Ethanol from Corn,Well-to-Pump,Not Applicable,16.2,g CO2e/MJ,2022,US,0.8
Ethanol from Corn,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),50.19,g CO2e/MJ,2022,US,0.87
Ethanol from Corn,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),66.39,g CO2e/MJ,2022,US,0.71
Ethanol from Corn,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),34.74,g CO2e/MJ,2022,US,0.9
Ethanol from Corn,Well-to-Wheel,Hybrid Electric Vehicle (HEV),50.94,g CO2e/MJ,2022,US,0.86
Ethanol from Corn,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),41.72,g CO2e/MJ,2022,US,0.78
Ethanol from Corn,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),57.91,g CO2e/MJ,2022,US,0.72
Ethanol from Corn,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),49.73,g CO2e/MJ,2022,US,0.78
Ethanol from Corn,Well-to-Wheel,Flexible Fuel Vehicle (FFV),65.93,g CO2e/MJ,2022,US,0.87
Ethanol from Sugarcane,Well-to-Pump,Not Applicable,13.87,g CO2e/MJ,2022,US,0.79
Ethanol from Sugarcane,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),35.89,g CO2e/MJ,2022,US,0.8
Ethanol from Sugarcane,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),49.76,g CO2e/MJ,2022,US,0.82
Ethanol from Sugarcane,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),23.05,g CO2e/MJ,2022,US,0.88
Ethanol from Sugarcane,Well-to-Wheel,Hybrid Electric Vehicle (HEV),36.92,g CO2e/MJ,2022,US,0.88
Ethanol from Sugarcane,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),25.81,g CO2e/MJ,2022,US,0.73
Ethanol from Sugarcane,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),39.68,g CO2e/MJ,2022,US,0.72
Ethanol from Sugarcane,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),38.7,g CO2e/MJ,2022,US,0.86
Ethanol from Sugarcane,Well-to-Wheel,Flexible Fuel Vehicle (FFV),52.57,g CO2e/MJ,2022,US,0.81
Ethanol from Cellulosic Biomass,Well-to-Pump,Not Applicable,10.91,g CO2e/MJ,2022,US,0.82
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),35.67,g CO2e/MJ,2022,US,0.81
Ethanol from Cellulosic Biomass,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),46.57,g CO2e/MJ,2022,US,0.82
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),21.72,g CO2e/MJ,2022,US,0.82
Ethanol from Cellulosic Biomass,Well-to-Wheel,Hybrid Electric Vehicle (HEV),32.63,g CO2e/MJ,2022,US,0.88
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),27.38,g CO2e/MJ,2022,US,0.84
Ethanol from Cellulosic Biomass,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),38.29,g CO2e/MJ,2022,US,0.89
Ethanol from Cellulosic Biomass,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),33.63,g CO2e/MJ,2022,US,0.73
Ethanol from Cellulosic Biomass,Well-to-Wheel,Flexible Fuel Vehicle (FFV),44.54,g CO2e/MJ,2022,US,0.76
Biodiesel from Soybean,Well-to-Pump,Not Applicable,10.55,g CO2e/MJ,2022,US,0.83
Biodiesel from Soybean,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),28.99,g CO2e/MJ,2022,US,0.82
Biodiesel from Soybean,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),39.54,g CO2e/MJ,2022,US,0.78
Biodiesel from Soybean,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),18.49,g CO2e/MJ,2022,US,0.72
Biodiesel from Soybean,Well-to-Wheel,Hybrid Electric Vehicle (HEV),29.04,g CO2e/MJ,2022,US,0.77
Biodiesel from Soybean,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),21.26,g CO2e/MJ,2022,US,0.77
Biodiesel from Soybean,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),31.82,g CO2e/MJ,2022,US,0.8
Biodiesel from Soybean,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),29.35,g CO2e/MJ,2022,US,0.7
Biodiesel from Soybean,Well-to-Wheel,Flexible Fuel Vehicle (FFV),39.9,g CO2e/MJ,2022,US,0.84
Biodiesel from Algae,Well-to-Pump,Not Applicable,18.63,g CO2e/MJ,2022,US,0.73
Biodiesel from Algae,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),33.16,g CO2e/MJ,2022,US,0.74
Biodiesel from Algae,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),51.78,g CO2e/MJ,2022,US,0.87
Biodiesel from Algae,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),20.9,g CO2e/MJ,2022,US,0.82
Biodiesel from Algae,Well-to-Wheel,Hybrid Electric Vehicle (HEV),39.53,g CO2e/MJ,2022,US,0.74
Biodiesel from Algae,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),23.75,g CO2e/MJ,2022,US,0.72
Biodiesel from Algae,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),42.38,g CO2e/MJ,2022,US,0.83
Biodiesel from Algae,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),34.01,g CO2e/MJ,2022,US,0.75
Biodiesel from Algae,Well-to-Wheel,Flexible Fuel Vehicle (FFV),52.64,g CO2e/MJ,2022,US,0.74
Renewable Diesel,Well-to-Pump,Not Applicable,25.97,g CO2e/MJ,2022,US,0.71
Renewable Diesel,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),69.73,g CO2e/MJ,2022,US,0.77
Renewable Diesel,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),95.7,g CO2e/MJ,2022,US,0.85
Renewable Diesel,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),55.17,g CO2e/MJ,2022,US,0.88
Renewable Diesel,Well-to-Wheel,Hybrid Electric Vehicle (HEV),81.14,g CO2e/MJ,2022,US,0.85
Renewable Diesel,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),47.58,g CO2e/MJ,2022,US,0.77
Renewable Diesel,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),73.56,g CO2e/MJ,2022,US,0.75
Renewable Diesel,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),73.94,g CO2e/MJ,2022,US,0.72
Renewable Diesel,Well-to-Wheel,Flexible Fuel Vehicle (FFV),99.91,g CO2e/MJ,2022,US,0.9
Hydrogen from Natural Gas,Well-to-Pump,Not Applicable,16.4,g CO2e/MJ,2022,US,0.7
Hydrogen from Natural Gas,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),52.0,g CO2e/MJ,2022,US,0.78
Hydrogen from Natural Gas,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),68.4,g CO2e/MJ,2022,US,0.9
Hydrogen from Natural Gas,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),32.44,g CO2e/MJ,2022,US,0.73
Hydrogen from Natural Gas,Well-to-Wheel,Hybrid Electric Vehicle (HEV),48.85,g CO2e/MJ,2022,US,0.71
Hydrogen from Natural Gas,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),34.95,g CO2e/MJ,2022,US,0.7
Hydrogen from Natural Gas,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),51.35,g CO2e/MJ,2022,US,0.81
Hydrogen from Natural Gas,Pump-to-Wheel,Compressed Natural Gas Vehicle (CNGV),54.46,g CO2e/MJ,2022,US,0.8
Hydrogen from Natural Gas,Well-to-Wheel,Compressed Natural Gas Vehicle (CNGV),70.87,g CO2e/MJ,2022,US,0.73
Hydrogen from Natural Gas,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),54.71,g CO2e/MJ,2022,US,0.84
Hydrogen from Natural Gas,Well-to-Wheel,Flexible Fuel Vehicle (FFV),71.11,g CO2e/MJ,2022,US,0.73
Hydrogen from Biomass,Well-to-Pump,Not Applicable,42.84,g CO2e/MJ,2022,US,0.89
Hydrogen from Biomass,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),83.74,g CO2e/MJ,2022,US,0.82
Hydrogen from Biomass,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),126.58,g CO2e/MJ,2022,US,0.76
Hydrogen from Biomass,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),59.71,g CO2e/MJ,2022,US,0.77
Hydrogen from Biomass,Well-to-Wheel,Hybrid Electric Vehicle (HEV),102.55,g CO2e/MJ,2022,US,0.86
Hydrogen from Biomass,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),63.09,g CO2e/MJ,2022,US,0.78
Hydrogen from Biomass,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),105.93,g CO2e/MJ,2022,US,0.87
Hydrogen from Biomass,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),80.2,g CO2e/MJ,2022,US,0.9
Hydrogen from Biomass,Well-to-Wheel,Flexible Fuel Vehicle (FFV),123.05,g CO2e/MJ,2022,US,0.7
Hydrogen from Electrolysis,Well-to-Pump,Not Applicable,22.25,g CO2e/MJ,2022,US,0.71
Hydrogen from Electrolysis,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),42.59,g CO2e/MJ,2022,US,0.83
Hydrogen from Electrolysis,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),64.85,g CO2e/MJ,2022,US,0.71
Hydrogen from Electrolysis,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),25.79,g CO2e/MJ,2022,US,0.81
Hydrogen from Electrolysis,Well-to-Wheel,Hybrid Electric Vehicle (HEV),48.04,g CO2e/MJ,2022,US,0.85
Hydrogen from Electrolysis,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),25.49,g CO2e/MJ,2022,US,0.75
Hydrogen from Electrolysis,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),47.74,g CO2e/MJ,2022,US,0.79
Hydrogen from Electrolysis,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),41.89,g CO2e/MJ,2022,US,0.71
Hydrogen from Electrolysis,Well-to-Wheel,Flexible Fuel Vehicle (FFV),64.14,g CO2e/MJ,2022,US,0.77
Electricity from Coal,Well-to-Pump,Not Applicable,39.3,g CO2e/MJ,2022,US,0.75
Electricity from Coal,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),156.81,g CO2e/MJ,2022,US,0.84
Electricity from Coal,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),196.1,g CO2e/MJ,2022,US,0.79
Electricity from Coal,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),121.67,g CO2e/MJ,2022,US,0.89
Electricity from Coal,Well-to-Wheel,Hybrid Electric Vehicle (HEV),160.97,g CO2e/MJ,2022,US,0.75
Electricity from Coal,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),102.11,g CO2e/MJ,2022,US,0.72
Electricity from Coal,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),141.4,g CO2e/MJ,2022,US,0.87
Electricity from Coal,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.72
Electricity from Coal,Well-to-Wheel,Battery Electric Vehicle (BEV),39.3,g CO2e/MJ,2022,US,0.9
Electricity from Coal,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),149.29,g CO2e/MJ,2022,US,0.82
Electricity from Coal,Well-to-Wheel,Flexible Fuel Vehicle (FFV),188.59,g CO2e/MJ,2022,US,0.8
Electricity from Natural Gas,Well-to-Pump,Not Applicable,17.35,g CO2e/MJ,2022,US,0.88
Electricity from Natural Gas,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),56.91,g CO2e/MJ,2022,US,0.73
Electricity from Natural Gas,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),74.26,g CO2e/MJ,2022,US,0.77
Electricity from Natural Gas,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),44.02,g CO2e/MJ,2022,US,0.82
Electricity from Natural Gas,Well-to-Wheel,Hybrid Electric Vehicle (HEV),61.37,g CO2e/MJ,2022,US,0.75
Electricity from Natural Gas,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),43.28,g CO2e/MJ,2022,US,0.75
Electricity from Natural Gas,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),60.63,g CO2e/MJ,2022,US,0.79
Electricity from Natural Gas,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.87
Electricity from Natural Gas,Well-to-Wheel,Battery Electric Vehicle (BEV),17.35,g CO2e/MJ,2022,US,0.82
Electricity from Natural Gas,Pump-to-Wheel,Compressed Natural Gas Vehicle (CNGV),57.51,g CO2e/MJ,2022,US,0.89
Electricity from Natural Gas,Well-to-Wheel,Compressed Natural Gas Vehicle (CNGV),74.87,g CO2e/MJ,2022,US,0.81
Electricity from Natural Gas,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),56.15,g CO2e/MJ,2022,US,0.86
Electricity from Natural Gas,Well-to-Wheel,Flexible Fuel Vehicle (FFV),73.5,g CO2e/MJ,2022,US,0.73
Electricity from Nuclear,Well-to-Pump,Not Applicable,10.41,g CO2e/MJ,2022,US,0.75
Electricity from Nuclear,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),17.86,g CO2e/MJ,2022,US,0.84
Electricity from Nuclear,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),28.27,g CO2e/MJ,2022,US,0.81
Electricity from Nuclear,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),14.64,g CO2e/MJ,2022,US,0.86
Electricity from Nuclear,Well-to-Wheel,Hybrid Electric Vehicle (HEV),25.06,g CO2e/MJ,2022,US,0.75
Electricity from Nuclear,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),14.32,g CO2e/MJ,2022,US,0.88
Electricity from Nuclear,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),24.74,g CO2e/MJ,2022,US,0.76
Electricity from Nuclear,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.81
Electricity from Nuclear,Well-to-Wheel,Battery Electric Vehicle (BEV),10.41,g CO2e/MJ,2022,US,0.84
Electricity from Nuclear,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),19.53,g CO2e/MJ,2022,US,0.85
Electricity from Nuclear,Well-to-Wheel,Flexible Fuel Vehicle (FFV),29.95,g CO2e/MJ,2022,US,0.89
Electricity from Biomass,Well-to-Pump,Not Applicable,17.17,g CO2e/MJ,2022,US,0.84
Electricity from Biomass,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),52.68,g CO2e/MJ,2022,US,0.84
Electricity from Biomass,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),69.85,g CO2e/MJ,2022,US,0.86
Electricity from Biomass,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),38.03,g CO2e/MJ,2022,US,0.75
Electricity from Biomass,Well-to-Wheel,Hybrid Electric Vehicle (HEV),55.2,g CO2e/MJ,2022,US,0.87
Electricity from Biomass,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),38.39,g CO2e/MJ,2022,US,0.9
Electricity from Biomass,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),55.56,g CO2e/MJ,2022,US,0.84
Electricity from Biomass,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.82
Electricity from Biomass,Well-to-Wheel,Battery Electric Vehicle (BEV),17.17,g CO2e/MJ,2022,US,0.85
Electricity from Biomass,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),53.05,g CO2e/MJ,2022,US,0.79
Electricity from Biomass,Well-to-Wheel,Flexible Fuel Vehicle (FFV),70.22,g CO2e/MJ,2022,US,0.8
Electricity from Wind,Well-to-Pump,Not Applicable,8.82,g CO2e/MJ,2022,US,0.87
Electricity from Wind,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),16.53,g CO2e/MJ,2022,US,0.81
Electricity from Wind,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),25.35,g CO2e/MJ,2022,US,0.75
Electricity from Wind,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),12.01,g CO2e/MJ,2022,US,0.8
Electricity from Wind,Well-to-Wheel,Hybrid Electric Vehicle (HEV),20.83,g CO2e/MJ,2022,US,0.89
Electricity from Wind,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),10.32,g CO2e/MJ,2022,US,0.79
Electricity from Wind,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),19.14,g CO2e/MJ,2022,US,0.77
Electricity from Wind,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.84
Electricity from Wind,Well-to-Wheel,Battery Electric Vehicle (BEV),8.82,g CO2e/MJ,2022,US,0.82
Electricity from Wind,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),16.52,g CO2e/MJ,2022,US,0.71
Electricity from Wind,Well-to-Wheel,Flexible Fuel Vehicle (FFV),25.34,g CO2e/MJ,2022,US,0.73
Electricity from Solar,Well-to-Pump,Not Applicable,8.85,g CO2e/MJ,2022,US,0.77
Electricity from Solar,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),18.52,g CO2e/MJ,2022,US,0.76
Electricity from Solar,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),27.37,g CO2e/MJ,2022,US,0.89
Electricity from Solar,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),12.25,g CO2e/MJ,2022,US,0.74
Electricity from Solar,Well-to-Wheel,Hybrid Electric Vehicle (HEV),21.1,g CO2e/MJ,2022,US,0.75
Electricity from Solar,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),14.76,g CO2e/MJ,2022,US,0.89
Electricity from Solar,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),23.61,g CO2e/MJ,2022,US,0.83
Electricity from Solar,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.78
Electricity from Solar,Well-to-Wheel,Battery Electric Vehicle (BEV),8.85,g CO2e/MJ,2022,US,0.89
Electricity from Solar,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),19.09,g CO2e/MJ,2022,US,0.78
Electricity from Solar,Well-to-Wheel,Flexible Fuel Vehicle (FFV),27.94,g CO2e/MJ,2022,US,0.73
Electricity from Hydroelectric,Well-to-Pump,Not Applicable,2.89,g CO2e/MJ,2022,US,0.89
Electricity from Hydroelectric,Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),10.6,g CO2e/MJ,2022,US,0.88
Electricity from Hydroelectric,Well-to-Wheel,Conventional Internal Combustion Engine (ICE),13.49,g CO2e/MJ,2022,US,0.74
Electricity from Hydroelectric,Pump-to-Wheel,Hybrid Electric Vehicle (HEV),7.29,g CO2e/MJ,2022,US,0.78
Electricity from Hydroelectric,Well-to-Wheel,Hybrid Electric Vehicle (HEV),10.18,g CO2e/MJ,2022,US,0.74
Electricity from Hydroelectric,Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),7.93,g CO2e/MJ,2022,US,0.89
