region,sector,gas_type,time_period,multiplier,confidence,description,reference,year
North America,Energy,CH4,2000-2010,0.95,0.71,Energy CH4 multiplier for North America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
North America,Energy,N2O,2000-2010,0.73,0.61,Energy N2O multiplier for North America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
North America,Energy,F-gases,2000-2010,0.64,0.61,Energy F-gases multiplier for North America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CO2,2010-2019,0.58,0.8,Energy CO2 multiplier for North America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CH4,2010-2019,0.75,0.78,Energy CH4 multiplier for North America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
North America,Energy,N2O,2010-2019,0.61,0.87,Energy N2O multiplier for North America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
North America,Energy,F-gases,2010-2019,0.51,0.76,Energy F-gases multiplier for North America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CO2,2019-present,0.49,0.89,Energy CO2 multiplier for North America in 2019-present,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CH4,2019-present,0.61,0.8,Energy CH4 multiplier for North America in 2019-present,IPCC AR6 WG3 (Simulated),2022
North America,Energy,N2O,2019-present,0.42,0.79,Energy N2O multiplier for North America in 2019-present,IPCC AR6 WG3 (Simulated),2022
North America,Energy,F-gases,2019-present,0.38,0.62,Energy F-gases multiplier for North America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CO2,1990-2000,0.67,0.63,Energy CO2 multiplier for Europe in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CH4,1990-2000,0.77,0.83,Energy CH4 multiplier for Europe in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,N2O,1990-2000,0.58,0.74,Energy N2O multiplier for Europe in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,F-gases,1990-2000,0.58,0.65,Energy F-gases multiplier for Europe in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CO2,2000-2010,0.79,0.75,Energy CO2 multiplier for Europe in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CH4,2000-2010,0.9,0.77,Energy CH4 multiplier for Europe in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,N2O,2000-2010,0.65,0.63,Energy N2O multiplier for Europe in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,F-gases,2000-2010,0.71,0.79,Energy F-gases multiplier for Europe in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CO2,2010-2019,0.61,0.64,Energy CO2 multiplier for Europe in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CH4,2010-2019,0.7,0.74,Energy CH4 multiplier for Europe in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,N2O,2010-2019,0.53,0.83,Energy N2O multiplier for Europe in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,F-gases,2010-2019,0.51,0.83,Energy F-gases multiplier for Europe in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CO2,2019-present,0.55,0.75,Energy CO2 multiplier for Europe in 2019-present,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,CH4,2019-present,0.58,0.88,Energy CH4 multiplier for Europe in 2019-present,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,N2O,2019-present,0.42,0.7,Energy N2O multiplier for Europe in 2019-present,IPCC AR6 WG3 (Simulated),2022
Europe,Energy,F-gases,2019-present,0.41,0.82,Energy F-gases multiplier for Europe in 2019-present,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CO2,1990-2000,1.12,0.67,Energy CO2 multiplier for East Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CH4,1990-2000,1.45,0.66,Energy CH4 multiplier for East Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,N2O,1990-2000,1.12,0.78,Energy N2O multiplier for East Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,F-gases,1990-2000,0.86,0.71,Energy F-gases multiplier for East Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CO2,2000-2010,1.26,0.76,Energy CO2 multiplier for East Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CH4,2000-2010,1.47,0.69,Energy CH4 multiplier for East Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,N2O,2000-2010,1.18,0.66,Energy N2O multiplier for East Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,F-gases,2000-2010,0.88,0.64,Energy F-gases multiplier for East Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CO2,2010-2019,0.88,0.75,Energy CO2 multiplier for East Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CH4,2010-2019,1.16,0.68,Energy CH4 multiplier for East Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,N2O,2010-2019,0.83,0.76,Energy N2O multiplier for East Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,F-gases,2010-2019,0.71,0.76,Energy F-gases multiplier for East Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CO2,2019-present,0.83,0.79,Energy CO2 multiplier for East Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,CH4,2019-present,1.02,0.79,Energy CH4 multiplier for East Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,N2O,2019-present,0.74,0.88,Energy N2O multiplier for East Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
East Asia,Energy,F-gases,2019-present,0.8,0.61,Energy F-gases multiplier for East Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CO2,1990-2000,0.99,0.82,Energy CO2 multiplier for South Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CH4,1990-2000,1.2,0.79,Energy CH4 multiplier for South Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,N2O,1990-2000,1.0,0.71,Energy N2O multiplier for South Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,F-gases,1990-2000,0.81,0.8,Energy F-gases multiplier for South Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CO2,2000-2010,0.96,0.61,Energy CO2 multiplier for South Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CH4,2000-2010,1.23,0.64,Energy CH4 multiplier for South Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,N2O,2000-2010,0.96,0.61,Energy N2O multiplier for South Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,F-gases,2000-2010,0.8,0.71,Energy F-gases multiplier for South Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CO2,2010-2019,0.81,0.72,Energy CO2 multiplier for South Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CH4,2010-2019,1.1,0.6,Energy CH4 multiplier for South Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,N2O,2010-2019,0.76,0.82,Energy N2O multiplier for South Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,F-gases,2010-2019,0.79,0.73,Energy F-gases multiplier for South Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CO2,2019-present,0.66,0.63,Energy CO2 multiplier for South Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,CH4,2019-present,0.89,0.76,Energy CH4 multiplier for South Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,N2O,2019-present,0.63,0.76,Energy N2O multiplier for South Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
South Asia,Energy,F-gases,2019-present,0.58,0.71,Energy F-gases multiplier for South Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CO2,1990-2000,0.97,0.77,Energy CO2 multiplier for Latin America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CH4,1990-2000,1.22,0.67,Energy CH4 multiplier for Latin America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,N2O,1990-2000,0.96,0.72,Energy N2O multiplier for Latin America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,F-gases,1990-2000,0.9,0.73,Energy F-gases multiplier for Latin America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CO2,2000-2010,1.14,0.77,Energy CO2 multiplier for Latin America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CH4,2000-2010,1.35,0.9,Energy CH4 multiplier for Latin America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,N2O,2000-2010,0.96,0.86,Energy N2O multiplier for Latin America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,F-gases,2000-2010,0.84,0.82,Energy F-gases multiplier for Latin America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CO2,2010-2019,1.07,0.63,Energy CO2 multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CH4,2010-2019,1.2,0.67,Energy CH4 multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,N2O,2010-2019,0.95,0.8,Energy N2O multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,F-gases,2010-2019,0.71,0.68,Energy F-gases multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CO2,2019-present,0.74,0.74,Energy CO2 multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,CH4,2019-present,0.96,0.71,Energy CH4 multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,N2O,2019-present,0.71,0.79,Energy N2O multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Energy,F-gases,2019-present,0.69,0.73,Energy F-gases multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CO2,1990-2000,0.77,0.7,Energy CO2 multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CH4,1990-2000,0.87,0.83,Energy CH4 multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,N2O,1990-2000,0.7,0.75,Energy N2O multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,F-gases,1990-2000,0.59,0.63,Energy F-gases multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CO2,2000-2010,0.81,0.63,Energy CO2 multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CH4,2000-2010,0.93,0.88,Energy CH4 multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,N2O,2000-2010,0.62,0.65,Energy N2O multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,F-gases,2000-2010,0.64,0.8,Energy F-gases multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CO2,2010-2019,0.61,0.68,Energy CO2 multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CH4,2010-2019,0.76,0.85,Energy CH4 multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,N2O,2010-2019,0.52,0.84,Energy N2O multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,F-gases,2010-2019,0.45,0.73,Energy F-gases multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CO2,2019-present,0.57,0.7,Energy CO2 multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,CH4,2019-present,0.71,0.75,Energy CH4 multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,N2O,2019-present,0.56,0.85,Energy N2O multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Energy,F-gases,2019-present,0.49,0.83,Energy F-gases multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CO2,1990-2000,1.24,0.62,Energy CO2 multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CH4,1990-2000,1.42,0.62,Energy CH4 multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,N2O,1990-2000,1.1,0.75,Energy N2O multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,F-gases,1990-2000,0.96,0.72,Energy F-gases multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CO2,2000-2010,1.19,0.7,Energy CO2 multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CH4,2000-2010,1.28,0.66,Energy CH4 multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,N2O,2000-2010,1.11,0.8,Energy N2O multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,F-gases,2000-2010,1.0,0.78,Energy F-gases multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CO2,2010-2019,0.96,0.65,Energy CO2 multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CH4,2010-2019,1.18,0.61,Energy CH4 multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,N2O,2010-2019,0.82,0.85,Energy N2O multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,F-gases,2010-2019,0.81,0.83,Energy F-gases multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CO2,2019-present,0.83,0.8,Energy CO2 multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,CH4,2019-present,0.96,0.87,Energy CH4 multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,N2O,2019-present,0.69,0.62,Energy N2O multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Energy,F-gases,2019-present,0.64,0.71,Energy F-gases multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CO2,1990-2000,0.69,0.63,Energy CO2 multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CH4,1990-2000,0.81,0.76,Energy CH4 multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,N2O,1990-2000,0.62,0.74,Energy N2O multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,F-gases,1990-2000,0.6,0.66,Energy F-gases multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CO2,2000-2010,0.72,0.67,Energy CO2 multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CH4,2000-2010,1.02,0.83,Energy CH4 multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,N2O,2000-2010,0.75,0.73,Energy N2O multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,F-gases,2000-2010,0.62,0.61,Energy F-gases multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CO2,2010-2019,0.6,0.88,Energy CO2 multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CH4,2010-2019,0.81,0.67,Energy CH4 multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,N2O,2010-2019,0.53,0.87,Energy N2O multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,F-gases,2010-2019,0.51,0.68,Energy F-gases multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CO2,2019-present,0.51,0.89,Energy CO2 multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,CH4,2019-present,0.64,0.8,Energy CH4 multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,N2O,2019-present,0.48,0.8,Energy N2O multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Energy,F-gases,2019-present,0.43,0.72,Energy F-gases multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CO2,1990-2000,1.01,0.77,Energy CO2 multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CH4,1990-2000,1.35,0.68,Energy CH4 multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,N2O,1990-2000,0.93,0.75,Energy N2O multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,F-gases,1990-2000,0.78,0.72,Energy F-gases multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CO2,2000-2010,1.19,0.85,Energy CO2 multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CH4,2000-2010,1.37,0.63,Energy CH4 multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,N2O,2000-2010,1.06,0.66,Energy N2O multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,F-gases,2000-2010,0.88,0.74,Energy F-gases multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CO2,2010-2019,0.91,0.85,Energy CO2 multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CH4,2010-2019,1.05,0.9,Energy CH4 multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,N2O,2010-2019,0.89,0.88,Energy N2O multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,F-gases,2010-2019,0.78,0.83,Energy F-gases multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CO2,2019-present,0.88,0.66,Energy CO2 multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,CH4,2019-present,0.93,0.78,Energy CH4 multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,N2O,2019-present,0.73,0.79,Energy N2O multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Energy,F-gases,2019-present,0.62,0.69,Energy F-gases multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CO2,1990-2000,0.66,0.76,Energy CO2 multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CH4,1990-2000,0.88,0.71,Energy CH4 multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Energy,N2O,1990-2000,0.59,0.75,Energy N2O multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Energy,F-gases,1990-2000,0.61,0.67,Energy F-gases multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CO2,2000-2010,0.88,0.73,Energy CO2 multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CH4,2000-2010,0.91,0.65,Energy CH4 multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Energy,N2O,2000-2010,0.71,0.76,Energy N2O multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Energy,F-gases,2000-2010,0.71,0.89,Energy F-gases multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CO2,2010-2019,0.59,0.63,Energy CO2 multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CH4,2010-2019,0.78,0.89,Energy CH4 multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Energy,N2O,2010-2019,0.6,0.83,Energy N2O multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Energy,F-gases,2010-2019,0.55,0.65,Energy F-gases multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CO2,2019-present,0.53,0.69,Energy CO2 multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Energy,CH4,2019-present,0.68,0.65,Energy CH4 multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Energy,N2O,2019-present,0.49,0.61,Energy N2O multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Energy,F-gases,2019-present,0.41,0.63,Energy F-gases multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CO2,1990-2000,0.83,0.67,Energy CO2 multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CH4,1990-2000,0.98,0.6,Energy CH4 multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,N2O,1990-2000,0.7,0.64,Energy N2O multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,F-gases,1990-2000,0.66,0.68,Energy F-gases multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CO2,2000-2010,0.87,0.78,Energy CO2 multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CH4,2000-2010,1.04,0.72,Energy CH4 multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,N2O,2000-2010,0.79,0.67,Energy N2O multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,F-gases,2000-2010,0.75,0.64,Energy F-gases multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CO2,2010-2019,0.71,0.71,Energy CO2 multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CH4,2010-2019,0.84,0.78,Energy CH4 multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,N2O,2010-2019,0.62,0.66,Energy N2O multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,F-gases,2010-2019,0.47,0.72,Energy F-gases multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CO2,2019-present,0.59,0.67,Energy CO2 multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,CH4,2019-present,0.68,0.79,Energy CH4 multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,N2O,2019-present,0.59,0.77,Energy N2O multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Energy,F-gases,2019-present,0.49,0.64,Energy F-gases multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Mexico,Energy,CO2,1990-2000,0.82,0.88,Energy CO2 multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Energy,CH4,1990-2000,1.15,0.66,Energy CH4 multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Energy,N2O,1990-2000,0.85,0.8,Energy N2O multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Energy,F-gases,1990-2000,0.81,0.69,Energy F-gases multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Energy,CO2,2000-2010,1.06,0.61,Energy CO2 multiplier for Mexico in 2000-2010,IPCC AR6 WG3 (Simulated),2022
